% Processor Utility    |5,957,728,257,626 |5,957,728,261,675 |6,238,154,302,890|4,206,026,024,091|7,645,822,758,047|4,483,400,626,476|7,257,129,841,666|5,543,770,515,413|6,792,905,750,807|5,494,616,424,173
% User Time            |473,399,160,156   |473,399,160,156   |383,567,968,750  |340,829,531,250  |595,607,500,000  |365,852,187,500  |601,581,718,750  |452,994,218,750  |567,762,812,500  |478,997,343,750
Average Idle Time      |31,792,991,698,254|31,792,991,704,400|3,921,695,756,489|4,300,490,791,468|3,672,408,738,317|4,234,097,212,964|3,743,059,793,873|4,045,169,388,745|3,822,223,618,614|4,053,846,434,317
C1 Transitions/sec     |108,168,323       |108,168,327       |15,069,427       |9,242,107        |23,247,910       |9,710,360        |15,218,686       |11,061,622       |14,932,598       |9,685,630
C2 Transitions/sec     |218,639,384       |218,639,384       |32,619,651       |17,402,300       |46,289,386       |18,445,252       |31,445,513       |22,714,096       |29,455,701       |20,267,485
C3 Transitions/sec     |9,674,812,664     |9,674,812,666     |1,512,537,037    |990,544,433      |1,647,281,563    |918,490,984      |1,395,280,131    |935,069,118      |1,312,664,348    |962,945,070
Clock Interrupts/sec   |981,102,616       |981,102,616       |694,347,431      |642,287,198      |693,670,984      |616,572,641      |689,112,201      |622,237,570      |688,494,991      |629,346,900
DPC Rate               |363               |363               |88               |15               |170              |26               |18               |20               |11               |15
DPCs Queued/sec        |413,442,680       |413,442,682       |126,031,585      |33,441,808       |101,030,296      |31,486,914       |33,550,083       |29,880,261       |31,893,891       |26,127,851
Idle Break Events/sec  |10,001,620,525    |10,001,620,527    |1,560,226,122    |1,017,188,845    |1,716,818,879    |946,646,619      |1,441,944,364    |968,844,866      |1,357,052,737    |992,898,199
Interrupts/sec         |1,773,815,124     |1,773,815,128     |2,350,772,597    |1,485,774,121    |2,473,082,496    |1,382,327,623    |2,127,057,142    |1,425,804,802    |1,998,995,141    |1,414,903,112
Parking Status         |0                 |0                 |0                |0                |0                |0                |0                |0                |0                |0
Performance Limit Flags|2                 |2                 |2                |2                |2                |2                |2                |2                |2                |2
Processor Frequency    |1,706             |1,706             |1,706            |1,706            |1,706            |1,706            |1,706            |1,706            |1,706            |1,706
Processor State Flags  |0                 |0                 |1                |1                |1                |1                |1                |1                |1                |1

